year,month,ice_extent_mean,ice_extent_min,ice_extent_max,ice_anomaly
2013,7,16.808548387096774,15.575,18.108,0.5516110056925996
2013,8,18.663774193548388,18.021,19.09,0.6958292220113869
2013,9,19.388666666666666,19.064,19.58,0.6523411764705855
2013,10,19.017774193548387,18.326,19.608,0.6803017077798863
2013,11,16.872166666666665,15.022,18.273,0.8849823529411758
2013,12,11.85358064516129,8.703,14.787,1.1959601518026552
2014,1,6.326806451612903,4.573,8.546,1.0133586337760914
2014,2,3.843,3.548,4.52,0.5638368588814835
2014,3,4.901516129032258,3.72,6.481,0.6009449715370012
2014,4,8.343,6.579,9.812,1.1562019607843137
2014,5,11.519354838709678,9.949,12.979,1.0027400379506641
2014,6,14.686666666666667,13.115,16.306,0.9694254901960804
2014,7,17.10574193548387,16.401,18.16,0.8488045540796954
2014,8,18.907967741935487,18.263,19.234,0.9400227703984854
2014,9,19.7564,19.178,20.201,1.0200745098039192
2014,10,19.0028064516129,18.193,19.67,0.6653339658444004
2014,11,16.387766666666668,14.486,18.049,0.4005823529411785
2014,12,11.928290322580645,9.508,14.375,1.27066982922201
2015,1,6.851870967741935,4.528,9.393,1.5384231499051237
2015,2,3.7989285714285717,3.544,4.489,0.5197654303100552
2015,3,4.9642580645161285,3.75,6.409,0.663686907020872
2015,4,8.3732,6.598,10.164,1.1864019607843144
2015,5,11.716129032258063,10.278,12.91,1.19951423149905
2015,6,14.4749,12.972,15.968,0.7576588235294128
2015,7,16.775225806451616,15.979,17.442,0.5182884250474409
2015,8,17.749354838709678,17.409,18.392,-0.2185901328273232
2015,9,18.444000000000003,18.222,18.828,-0.29232549019607745
2015,10,18.40925806451613,17.595,18.912,0.07178557874762959
2015,11,16.1751,14.187,17.544,0.18791568627451127
2015,12,10.655225806451613,7.222,14.045,-0.002394686907022603
2016,1,4.689129032258064,3.201,6.911,-0.6243187855787475
2016,2,2.7895172413793103,2.616,3.176,-0.48964589973920614
2016,3,4.069032258064516,2.813,5.717,-0.23153889943074013
2016,4,7.2216,5.772,8.635,0.0348019607843133
2016,5,10.102387096774192,8.734,11.268,-0.414227703984821
2016,6,13.241933333333332,11.426,14.759,-0.47530784313725505
2016,7,16.02383870967742,14.819,16.924,-0.23309867172675425
2016,8,17.892032258064518,16.962,18.581,-0.07591271347248352
2016,9,18.150066666666664,17.907,18.464,-0.5862588235294162
2016,10,17.46,16.538,18.202,-0.8774724857685001
2016,11,14.222666666666667,11.749,16.494,-1.7645176470588222
2016,12,8.279387096774194,5.653,11.584,-2.3782333965844416
